,artist_name,artist_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,duration_ms,popularity,count,genre
0,Frank Sinatra,792507,0.384478451,0.238016728,0.36428824,110.1816983,-14.27114098,1,5,0.735648225,0.020854983,0.23210555100000002,0.049614244,189179.9255,26.00438276,1369,Vocal
2,Johnny Cash,816890,0.619803442,0.449381159,0.6806623190000001,115.0377473,-11.59310417,1,10,0.6856368840000001,0.022646551,0.242242663,0.098216123,162279.2672,26.61413043,1104,Country
3,Billie Holiday,79016,0.57263653,0.201368037,0.498934429,109.91217169999999,-13.22596621,1,5,0.90849863,0.013063617,0.21772675800000002,0.062431781,185131.453,15.62100457,1095,Vocal
4,Bob Dylan,66915,0.512597985,0.477932051,0.5519337,126.1601493,-11.18432967,1,7,0.562566789,0.03421143,0.308977656,0.06453489,256713.4203,30.86080586,1092,Pop/Rock
5,The Rolling Stones,894465,0.5244463770000001,0.719914976,0.655331787,123.7647169,-7.830264734,1,0,0.293788178,0.17613705699999999,0.268443382,0.051439902999999995,229705.9623,34.57391304,1035,Pop/Rock
6,The Beach Boys,41874,0.5029446679999999,0.532130785,0.6339565389999999,125.9920362,-9.925742455,1,9,0.398488245,0.11536290699999999,0.191189235,0.04397062400000001,148845.0946,27.95774648,994,Pop/Rock
7,Elvis Presley,180228,0.49584343399999997,0.42630767700000005,0.621249495,111.4894535,-12.893730300000001,1,0,0.741411858,0.05362297,0.24734585899999997,0.058278485,156211.0354,33.39191919,990,Pop/Rock
8,Wolfgang Amadeus Mozart,26350,0.353346375,0.13786938199999998,0.330528998,108.60434009999999,-20.17425693,1,7,0.961572495,0.5088807870000001,0.188827825,0.068484861,329702.9243,8.936034115,938,Classical
9,Miles Davis,423829,0.46022060200000003,0.308228565,0.417860185,113.55038190000002,-14.52661921,0,0,0.65571081,0.205073002,0.21976169,0.054571065,404023.4456,22.70023148,864,Jazz
10,Ella Fitzgerald,184502,0.429264195,0.241637312,0.391095829,109.06297679999999,-13.24842526,1,0,0.832413673,0.005059539,0.213361761,0.06049188900000001,213098.657,21.38122827,863,Vocal
11,Dean Martin,813392,0.46648228399999997,0.219624242,0.474845455,111.1737389,-14.47550583,1,7,0.866595571,0.025948981,0.179187762,0.043719231,160655.7145,19.28088578,858,Vocal
12,Queen,858827,0.459114918,0.60251049,0.4334,116.66643710000001,-9.828904429,1,2,0.283186275,0.031742966000000004,0.268521795,0.071037179,231867.1678,32.54778555,858,Pop/Rock
